"OBÈINE","SKD DEJAVNOST","2021 (zaèasni podatki)"
"SLOVENIJA","SKD Dejavnost - SKUPAJ",7802146359
"SLOVENIJA","A Kmetijstvo in lov, gozdarstvo, ribištvo",29907770
"SLOVENIJA","B Rudarstvo",146786012
"SLOVENIJA","C Predelovalne dejavnosti",4276044381
"SLOVENIJA","D Oskrba z elektrièno energijo, plinom in paro",60895099
"SLOVENIJA","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",246009462
"SLOVENIJA","F Gradbeništvo",88622849
"SLOVENIJA","G Trgovina, vzdrževanje in popravila motornih vozil",741044901
"SLOVENIJA","H Promet in skladišèenje",193174626
"SLOVENIJA","I Gostinstvo",330103035
"SLOVENIJA","J Informacijske in komunikacijske dejavnosti",179448877
"SLOVENIJA","K Finanène in zavarovalniške dejavnosti",56549053
"SLOVENIJA","L Poslovanje z nepremièninami",468020737
"SLOVENIJA","M Strokovne, znanstvene in tehniène dejavnosti",128986613
"SLOVENIJA","N Druge raznovrstne poslovne dejavnosti",42037335
"SLOVENIJA","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",215341068
"SLOVENIJA","P Izobraževanje",165302077
"SLOVENIJA","Q Zdravstvo in socialno varstvo",205582157
"SLOVENIJA","R Kulturne, razvedrilne in rekreacijske dejavnosti",104648882
"SLOVENIJA","S Druge dejavnosti",34283872
"SLOVENIJA","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"SLOVENIJA","U Dejavnost eksteritorialnih organizacij in teles",968482
"SLOVENIJA","X Neznano",88389071
"Ajdovšèina","SKD Dejavnost - SKUPAJ",67570642
"Ajdovšèina","A Kmetijstvo in lov, gozdarstvo, ribištvo",75744
"Ajdovšèina","B Rudarstvo",0
"Ajdovšèina","C Predelovalne dejavnosti",47685321
"Ajdovšèina","D Oskrba z elektrièno energijo, plinom in paro",37407
"Ajdovšèina","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",1913480
"Ajdovšèina","F Gradbeništvo",1263195
"Ajdovšèina","G Trgovina, vzdrževanje in popravila motornih vozil",5012409
"Ajdovšèina","H Promet in skladišèenje",755949
"Ajdovšèina","I Gostinstvo",1580676
"Ajdovšèina","J Informacijske in komunikacijske dejavnosti",817668
"Ajdovšèina","K Finanène in zavarovalniške dejavnosti",161045
"Ajdovšèina","L Poslovanje z nepremièninami",2671539
"Ajdovšèina","M Strokovne, znanstvene in tehniène dejavnosti",535218
"Ajdovšèina","N Druge raznovrstne poslovne dejavnosti",54885
"Ajdovšèina","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",1454371
"Ajdovšèina","P Izobraževanje",1554417
"Ajdovšèina","Q Zdravstvo in socialno varstvo",566916
"Ajdovšèina","R Kulturne, razvedrilne in rekreacijske dejavnosti",599630
"Ajdovšèina","S Druge dejavnosti",342520
"Ajdovšèina","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Ajdovšèina","U Dejavnost eksteritorialnih organizacij in teles",0
"Ajdovšèina","X Neznano",488252
"Ankaran/Ancarano","SKD Dejavnost - SKUPAJ",11674055
"Ankaran/Ancarano","A Kmetijstvo in lov, gozdarstvo, ribištvo",0
"Ankaran/Ancarano","B Rudarstvo",0
"Ankaran/Ancarano","C Predelovalne dejavnosti",216838
"Ankaran/Ancarano","D Oskrba z elektrièno energijo, plinom in paro",0
"Ankaran/Ancarano","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",2164663
"Ankaran/Ancarano","F Gradbeništvo",59445
"Ankaran/Ancarano","G Trgovina, vzdrževanje in popravila motornih vozil",676136
"Ankaran/Ancarano","H Promet in skladišèenje",49244
"Ankaran/Ancarano","I Gostinstvo",3028511
"Ankaran/Ancarano","J Informacijske in komunikacijske dejavnosti",173457
"Ankaran/Ancarano","K Finanène in zavarovalniške dejavnosti",59406
"Ankaran/Ancarano","L Poslovanje z nepremièninami",25940
"Ankaran/Ancarano","M Strokovne, znanstvene in tehniène dejavnosti",7525
"Ankaran/Ancarano","N Druge raznovrstne poslovne dejavnosti",0
"Ankaran/Ancarano","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",559225
"Ankaran/Ancarano","P Izobraževanje",311002
"Ankaran/Ancarano","Q Zdravstvo in socialno varstvo",4101662
"Ankaran/Ancarano","R Kulturne, razvedrilne in rekreacijske dejavnosti",1791
"Ankaran/Ancarano","S Druge dejavnosti",92643
"Ankaran/Ancarano","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Ankaran/Ancarano","U Dejavnost eksteritorialnih organizacij in teles",0
"Ankaran/Ancarano","X Neznano",146567
"Apaèe","SKD Dejavnost - SKUPAJ",3380771
"Apaèe","A Kmetijstvo in lov, gozdarstvo, ribištvo",24105
"Apaèe","B Rudarstvo",0
"Apaèe","C Predelovalne dejavnosti",1038304
"Apaèe","D Oskrba z elektrièno energijo, plinom in paro",23510
"Apaèe","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",537964
"Apaèe","F Gradbeništvo",34397
"Apaèe","G Trgovina, vzdrževanje in popravila motornih vozil",610528
"Apaèe","H Promet in skladišèenje",8971
"Apaèe","I Gostinstvo",223148
"Apaèe","J Informacijske in komunikacijske dejavnosti",159303
"Apaèe","K Finanène in zavarovalniške dejavnosti",8025
"Apaèe","L Poslovanje z nepremièninami",1234
"Apaèe","M Strokovne, znanstvene in tehniène dejavnosti",10281
"Apaèe","N Druge raznovrstne poslovne dejavnosti",3543
"Apaèe","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",156359
"Apaèe","P Izobraževanje",231908
"Apaèe","Q Zdravstvo in socialno varstvo",32356
"Apaèe","R Kulturne, razvedrilne in rekreacijske dejavnosti",9605
"Apaèe","S Druge dejavnosti",59722
"Apaèe","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Apaèe","U Dejavnost eksteritorialnih organizacij in teles",0
"Apaèe","X Neznano",207508
"Beltinci","SKD Dejavnost - SKUPAJ",11052977
"Beltinci","A Kmetijstvo in lov, gozdarstvo, ribištvo",593013
"Beltinci","B Rudarstvo",0
"Beltinci","C Predelovalne dejavnosti",3678594
"Beltinci","D Oskrba z elektrièno energijo, plinom in paro",1267107
"Beltinci","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",684769
"Beltinci","F Gradbeništvo",771665
"Beltinci","G Trgovina, vzdrževanje in popravila motornih vozil",1492364
"Beltinci","H Promet in skladišèenje",48934
"Beltinci","I Gostinstvo",563000
"Beltinci","J Informacijske in komunikacijske dejavnosti",161485
"Beltinci","K Finanène in zavarovalniške dejavnosti",24677
"Beltinci","L Poslovanje z nepremièninami",672650
"Beltinci","M Strokovne, znanstvene in tehniène dejavnosti",140890
"Beltinci","N Druge raznovrstne poslovne dejavnosti",0
"Beltinci","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",530222
"Beltinci","P Izobraževanje",238108
"Beltinci","Q Zdravstvo in socialno varstvo",45453
"Beltinci","R Kulturne, razvedrilne in rekreacijske dejavnosti",12279
"Beltinci","S Druge dejavnosti",23726
"Beltinci","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Beltinci","U Dejavnost eksteritorialnih organizacij in teles",0
"Beltinci","X Neznano",104041
"Benedikt","SKD Dejavnost - SKUPAJ",1999405
"Benedikt","A Kmetijstvo in lov, gozdarstvo, ribištvo",0
"Benedikt","B Rudarstvo",0
"Benedikt","C Predelovalne dejavnosti",412055
"Benedikt","D Oskrba z elektrièno energijo, plinom in paro",108711
"Benedikt","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",950
"Benedikt","F Gradbeništvo",18927
"Benedikt","G Trgovina, vzdrževanje in popravila motornih vozil",380241
"Benedikt","H Promet in skladišèenje",114915
"Benedikt","I Gostinstvo",257373
"Benedikt","J Informacijske in komunikacijske dejavnosti",138378
"Benedikt","K Finanène in zavarovalniške dejavnosti",1691
"Benedikt","L Poslovanje z nepremièninami",4678
"Benedikt","M Strokovne, znanstvene in tehniène dejavnosti",26579
"Benedikt","N Druge raznovrstne poslovne dejavnosti",0
"Benedikt","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",317942
"Benedikt","P Izobraževanje",5402
"Benedikt","Q Zdravstvo in socialno varstvo",3124
"Benedikt","R Kulturne, razvedrilne in rekreacijske dejavnosti",0
"Benedikt","S Druge dejavnosti",18353
"Benedikt","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Benedikt","U Dejavnost eksteritorialnih organizacij in teles",0
"Benedikt","X Neznano",190086
"Bistrica ob Sotli","SKD Dejavnost - SKUPAJ",1181173
"Bistrica ob Sotli","A Kmetijstvo in lov, gozdarstvo, ribištvo",2940
"Bistrica ob Sotli","B Rudarstvo",0
"Bistrica ob Sotli","C Predelovalne dejavnosti",395124
"Bistrica ob Sotli","D Oskrba z elektrièno energijo, plinom in paro",20434
"Bistrica ob Sotli","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",34910
"Bistrica ob Sotli","F Gradbeništvo",37
"Bistrica ob Sotli","G Trgovina, vzdrževanje in popravila motornih vozil",244196
"Bistrica ob Sotli","H Promet in skladišèenje",0
"Bistrica ob Sotli","I Gostinstvo",92238
"Bistrica ob Sotli","J Informacijske in komunikacijske dejavnosti",62917
"Bistrica ob Sotli","K Finanène in zavarovalniške dejavnosti",0
"Bistrica ob Sotli","L Poslovanje z nepremièninami",96165
"Bistrica ob Sotli","M Strokovne, znanstvene in tehniène dejavnosti",0
"Bistrica ob Sotli","N Druge raznovrstne poslovne dejavnosti",0
"Bistrica ob Sotli","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",102783
"Bistrica ob Sotli","P Izobraževanje",63856
"Bistrica ob Sotli","Q Zdravstvo in socialno varstvo",0
"Bistrica ob Sotli","R Kulturne, razvedrilne in rekreacijske dejavnosti",9295
"Bistrica ob Sotli","S Druge dejavnosti",5027
"Bistrica ob Sotli","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Bistrica ob Sotli","U Dejavnost eksteritorialnih organizacij in teles",0
"Bistrica ob Sotli","X Neznano",51251
"Bled","SKD Dejavnost - SKUPAJ",24394632
"Bled","A Kmetijstvo in lov, gozdarstvo, ribištvo",119532
"Bled","B Rudarstvo",-7
"Bled","C Predelovalne dejavnosti",6600116
"Bled","D Oskrba z elektrièno energijo, plinom in paro",7428
"Bled","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",1323471
"Bled","F Gradbeništvo",106031
"Bled","G Trgovina, vzdrževanje in popravila motornih vozil",2767162
"Bled","H Promet in skladišèenje",56234
"Bled","I Gostinstvo",7880135
"Bled","J Informacijske in komunikacijske dejavnosti",613188
"Bled","K Finanène in zavarovalniške dejavnosti",35889
"Bled","L Poslovanje z nepremièninami",322351
"Bled","M Strokovne, znanstvene in tehniène dejavnosti",255142
"Bled","N Druge raznovrstne poslovne dejavnosti",78214
"Bled","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",925379
"Bled","P Izobraževanje",1188050
"Bled","Q Zdravstvo in socialno varstvo",488360
"Bled","R Kulturne, razvedrilne in rekreacijske dejavnosti",1071990
"Bled","S Druge dejavnosti",105965
"Bled","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Bled","U Dejavnost eksteritorialnih organizacij in teles",0
"Bled","X Neznano",450002
"Bloke","SKD Dejavnost - SKUPAJ",3971252
"Bloke","A Kmetijstvo in lov, gozdarstvo, ribištvo",0
"Bloke","B Rudarstvo",0
"Bloke","C Predelovalne dejavnosti",3053317
"Bloke","D Oskrba z elektrièno energijo, plinom in paro",2642
"Bloke","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",0
"Bloke","F Gradbeništvo",2684
"Bloke","G Trgovina, vzdrževanje in popravila motornih vozil",180300
"Bloke","H Promet in skladišèenje",9685
"Bloke","I Gostinstvo",145908
"Bloke","J Informacijske in komunikacijske dejavnosti",152990
"Bloke","K Finanène in zavarovalniške dejavnosti",4472
"Bloke","L Poslovanje z nepremièninami",0
"Bloke","M Strokovne, znanstvene in tehniène dejavnosti",9481
"Bloke","N Druge raznovrstne poslovne dejavnosti",0
"Bloke","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",314711
"Bloke","P Izobraževanje",20736
"Bloke","Q Zdravstvo in socialno varstvo",8857
"Bloke","R Kulturne, razvedrilne in rekreacijske dejavnosti",0
"Bloke","S Druge dejavnosti",12043
"Bloke","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Bloke","U Dejavnost eksteritorialnih organizacij in teles",0
"Bloke","X Neznano",53426
"Bohinj","SKD Dejavnost - SKUPAJ",19188995
"Bohinj","A Kmetijstvo in lov, gozdarstvo, ribištvo",37254
"Bohinj","B Rudarstvo",0
"Bohinj","C Predelovalne dejavnosti",9146673
"Bohinj","D Oskrba z elektrièno energijo, plinom in paro",34062
"Bohinj","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",14225
"Bohinj","F Gradbeništvo",117210
"Bohinj","G Trgovina, vzdrževanje in popravila motornih vozil",1215116
"Bohinj","H Promet in skladišèenje",814158
"Bohinj","I Gostinstvo",3691242
"Bohinj","J Informacijske in komunikacijske dejavnosti",549354
"Bohinj","K Finanène in zavarovalniške dejavnosti",54428
"Bohinj","L Poslovanje z nepremièninami",242235
"Bohinj","M Strokovne, znanstvene in tehniène dejavnosti",62444
"Bohinj","N Druge raznovrstne poslovne dejavnosti",19832
"Bohinj","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",1466118
"Bohinj","P Izobraževanje",280990
"Bohinj","Q Zdravstvo in socialno varstvo",224901
"Bohinj","R Kulturne, razvedrilne in rekreacijske dejavnosti",854757
"Bohinj","S Druge dejavnosti",93123
"Bohinj","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0
"Bohinj","U Dejavnost eksteritorialnih organizacij in teles",0
"Bohinj","X Neznano",270873
"Borovnica","SKD Dejavnost - SKUPAJ",12836156
"Borovnica","A Kmetijstvo in lov, gozdarstvo, ribištvo",27868
