"OBÈINE","SKD DEJAVNOST","2020M01 (zaèasni podatki)","2020M02 (zaèasni podatki)","2020M03 (zaèasni podatki)","2020M04 (zaèasni podatki)","2020M05 (zaèasni podatki)","2020M06 (zaèasni podatki)","2020M07 (zaèasni podatki)","2020M08 (zaèasni podatki)","2020M09 (zaèasni podatki)","2020M10 (zaèasni podatki)","2020M11 (zaèasni podatki)","2020M12 (zaèasni podatki)","2021M01 (zaèasni podatki)","2021M02 (zaèasni podatki)","2021M03 (zaèasni podatki)","2021M04 (zaèasni podatki)","2021M05 (zaèasni podatki)","2021M06 (zaèasni podatki)","2021M07 (zaèasni podatki)","2021M08 (zaèasni podatki)","2021M09 (zaèasni podatki)","2021M10 (zaèasni podatki)","2021M11 (zaèasni podatki)","2021M12 (zaèasni podatki)","2022M01 (zaèasni podatki)","2022M02 (zaèasni podatki)","2022M03 (zaèasni podatki)","2022M04 (zaèasni podatki)","2022M05 (zaèasni podatki)","2022M06 (zaèasni podatki)","2022M07 (zaèasni podatki)","2022M08 (zaèasni podatki)","2022M09 (zaèasni podatki)"
"SLOVENIJA","SKD Dejavnost - SKUPAJ",689802696,648710061,627447173,487349444,542397851,594512567,651125511,629187993,659288874,651950651,623225327,612437099,636521524,592514412,675066262,608421961,640326536,676897680,679049737,647056295,657511621,657325114,654935996,676519221,661502654,625410934,688271748,606847999,653363538,675438069,660157924,627811306,628056949
"SLOVENIJA","A Kmetijstvo in lov, gozdarstvo, ribištvo",2161987,2085662,2123956,1933457,1840173,1861871,1907801,2044525,2689004,2907677,2321062,3320721,2778020,2557127,2650205,2223890,2085205,2164715,2250962,2095290,2372733,2808656,2902350,3018617,2665600,1993730,2766857,1924069,1859800,1900097,2212823,2237637,2441384
"SLOVENIJA","B Rudarstvo",13975133,13784364,14275018,12398258,11019318,11083073,11730760,11836710,12247402,13025148,12675537,10767637,11691430,11382371,12987609,12938832,13045480,12179495,12517918,11070019,12195820,12225597,12567697,11983744,12254111,11519937,13441237,12800854,13303816,12560607,11898893,9542416,9897490
"SLOVENIJA","C Predelovalne dejavnosti",355580604,349173799,354635504,271902194,302410188,324773266,347823770,325318258,366092518,367537760,360937325,329024799,350779182,333969900,384826470,350201560,366804966,378551623,360753474,342534664,366028378,356535811,348371227,336687126,328587069,334888074,370163566,325835775,357652168,363380518,340178323,316736776,340840508
"SLOVENIJA","D Oskrba z elektrièno energijo, plinom in paro",5893878,5302397,5121803,3591359,3672201,4069485,4604501,4377583,4620937,4887360,5230054,5560477,5453755,4911994,5370172,4758368,4410893,4175771,4613706,4451319,4626113,5184102,5781592,7157314,7213344,5952737,6585061,5054473,4908082,4719086,4773423,4778861,5045095
"SLOVENIJA","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",20243035,19011436,20595389,18874903,18907230,18995367,20340612,19449886,19454679,20201409,19633362,21480822,21436370,19531554,21563500,19929880,20074880,20155680,20941825,20440654,19650320,20536552,20251036,21497211,21074093,18819020,21708261,19748246,20185722,20558699,20620549,20077614,19382845
"SLOVENIJA","F Gradbeništvo",7711685,6665949,6588515,5421024,5553178,5858274,6386561,5889758,6254145,6936583,7603638,8137996,8162237,7346398,8155765,7043516,6781932,6421005,6749549,6532884,6672969,7402664,8197104,9156826,8906593,7852501,9082061,7301626,7168464,7610863,7369884,7095751,7233842
"SLOVENIJA","G Trgovina, vzdrževanje in popravila motornih vozil",66031465,59976771,56232245,47963937,55314285,60171411,67579154,68581416,62493666,60498348,55896226,60487685,59331314,54758236,61372741,55329929,58201362,65089125,70794905,66857822,60403172,60673291,61165759,67067245,65507549,57094669,61908843,55654507,60512985,65477709,68766495,67282457,59103501
"SLOVENIJA","H Promet in skladišèenje",19384731,17056805,15451710,12142146,13825809,14503397,15756638,15343916,15211015,14583158,14831345,16619258,16244545,12106213,18926971,14318475,14568959,16319362,17439001,16710222,15292730,15807696,16366498,19073954,18310304,15641492,16802506,14355173,15540748,16800905,17148728,16603248,14805171
"SLOVENIJA","I Gostinstvo",35709568,31731888,21838149,11611262,17107353,26245396,34309184,36627259,32164440,25600150,16672922,18193174,18161807,16281818,17935441,16946803,23223210,31742999,37539520,37448090,32599600,32429979,30278422,35515346,33068946,29439772,32593714,30649267,33246302,36927982,39420576,38880279,32716807
"SLOVENIJA","J Informacijske in komunikacijske dejavnosti",14340047,13421194,14097793,13580944,14030922,14488037,15408811,15472560,14480305,14386266,13893927,13971902,14237033,13097848,14569853,14106734,14705164,15471875,16404288,16076871,15140867,15289257,14768116,15580971,15506518,13966698,15460145,14950904,15846174,16255925,16720173,16909430,15079468
"SLOVENIJA","K Finanène in zavarovalniške dejavnosti",4983400,4440634,4246843,3610859,4078948,4605507,5242195,5272425,4811402,4425579,4352199,4769249,4922856,4271955,4551289,4196718,4354831,5044178,5472467,5088019,4551084,4503422,4579405,5012829,4962226,4317802,4779629,4267718,4602456,5087491,5433798,5167588,4400072
"SLOVENIJA","L Poslovanje z nepremièninami",39838366,36713446,33546743,25387406,29775186,34749296,40673912,37517687,37942814,36795323,34888007,36299022,38383994,35804230,38840186,35391033,37878583,39284200,40801605,38529829,38696772,40094113,40259488,44056704,43936897,39581284,42449798,37081506,39903684,41408655,43502665,41905658,38457632
"SLOVENIJA","M Strokovne, znanstvene in tehniène dejavnosti",11782226,10765800,9617606,7356401,8579863,9655719,10976841,11121283,10248481,10110557,9393456,10590033,10863601,9723434,10688579,9616264,10000380,10741541,11547451,10606706,10429788,10812162,11321092,12635615,12593142,10863848,11852953,10055967,10609164,11077850,11360096,10954889,9858736
"SLOVENIJA","N Druge raznovrstne poslovne dejavnosti",4232472,3765494,3423603,2566194,2794383,2981413,3405576,3235853,3342787,3394949,3250761,3485131,3356192,3112263,3556480,3069081,3132875,3533560,3819777,3398570,3519359,3590495,3803948,4144735,3923645,3369633,3973628,3448296,3526540,3637837,3636118,3466697,3521537
"SLOVENIJA","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",23064536,19169420,18080084,14979891,14821914,14946414,16078943,16839789,16856950,18362256,18831916,21690866,21288733,18179120,18526758,16104595,15588062,15502241,16469049,16331677,16472663,18386472,19724162,22767536,21898188,18387319,19085397,16220146,15767467,15909939,16647530,16772672,16544079
"SLOVENIJA","P Izobraževanje",18124168,15081092,11830385,6529044,8815584,11424908,10056173,10148426,13672449,13778359,10430988,11719773,12732995,12653445,15837784,11964709,13614886,13086755,10772786,10279660,13426973,15065110,17351378,18515596,18874128,15212879,16987951,14192916,13966432,14001591,10930435,10610836,14189144
"SLOVENIJA","Q Zdravstvo in socialno varstvo",17229422,15326824,15249609,13659273,14935555,16218069,18658752,18961557,16885778,15873854,15655107,17125551,16994341,15456681,16365649,15290890,15813670,18589908,20084361,18852721,16659786,16708449,16639947,18125754,17831434,15617744,17283255,15478929,17159691,19533633,20603060,19941413,17417785
"SLOVENIJA","R Kulturne, razvedrilne in rekreacijske dejavnosti",11904007,10211131,7249985,4350282,5060709,7552987,9022607,9884664,9130959,7960762,6772198,7757011,7753930,7194438,7741016,6294978,7378401,8979170,9887229,10017395,9333057,9050875,9546490,11471903,11482126,9988220,10253887,8789113,9089304,9854977,10272904,10440194,9264386
"SLOVENIJA","S Druge dejavnosti",4038593,3373007,2599021,1671836,2145228,2358629,2712231,2755933,2546090,2515054,2070653,2864463,3143709,2792738,2996879,2379731,2454190,2602418,2758699,2683323,2514257,2844658,3143457,3969813,3858938,3315755,3532149,2882790,2697169,2833473,2844986,2847966,2610878
"SLOVENIJA","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLOVENIJA","U Dejavnost eksteritorialnih organizacij in teles",z,z,z,z,70042,71816,80174,84359,78109,81117,80789,77170,86335,72863,80207,75292,72162,78085,83680,79132,73221,79448,90745,97312,95620,70505,91949,77414,78715,85002,89852,79460,116315
"SLOVENIJA","X Neznano",z,z,z,z,7639782,7898232,8370315,8424146,8064944,8088982,7803855,8494359,8719145,7309786,7522708,6240683,6136445,7183974,7347485,6971428,6851959,7296305,7826083,8983070,8952183,7517315,7468901,6078310,5738655,5815230,5726613,5479464,5130274
"Ajdovšèina","SKD Dejavnost - SKUPAJ",5073243,5094843,4175509,5056985,4629697,5390503,6307526,5632989,5748163,4153996,5572563,4360587,5030243,5008772,5674006,5117409,5597713,6326054,6836533,5694857,5948016,5361936,5433478,5541625,5471542,5337602,6490879,5727706,6176016,6724799,6554200,5587847,5474443
"Ajdovšèina","A Kmetijstvo in lov, gozdarstvo, ribištvo",5798,5283,5846,5643,6552,5952,7144,7430,6124,5023,4644,5514,5841,4821,5523,5167,5740,6407,7312,7618,6841,5594,6909,7971,7566,6327,7229,7699,8817,9491,10626,9993,8217
"Ajdovšèina","B Rudarstvo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ajdovšèina","C Predelovalne dejavnosti",3088276,3383009,2622627,3914348,3418265,3885165,4615851,3860800,4058683,2538292,4175947,2900661,3426143,3511702,4046282,3692339,4067400,4560869,5007356,3958572,4287607,3719866,3762430,3644755,3557784,3675191,4718173,4188300,4511541,4909122,4732369,3879128,3862045
"Ajdovšèina","D Oskrba z elektrièno energijo, plinom in paro",3171,2769,2342,1751,1391,1559,1604,2162,1919,2346,2752,4049,3304,2526,2792,2164,1888,1552,1754,3161,3045,2427,4111,8683,8420,6844,6535,5013,4655,119,1272,2010,2015
"Ajdovšèina","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Ajdovšèina","F Gradbeništvo",139947,128261,114751,80998,77093,73768,83061,85557,81576,97832,108243,128170,148540,130425,123658,104207,91704,89879,97937,86624,71249,89494,104248,125230,132612,114377,111679,91010,73067,75882,74145,65617,71016
"Ajdovšèina","G Trgovina, vzdrževanje in popravila motornih vozil",443189,414813,400249,314160,355240,410232,462688,471778,428454,437836,380557,389450,413332,396893,408091,370658,393843,432587,467710,443429,417310,409340,390660,468556,463729,409031,447162,394043,417877,465726,493566,468387,405104
"Ajdovšèina","H Promet in skladišèenje",71514,51398,81615,62439,62698,66914,57468,84807,65778,62676,45966,76265,66988,44392,79798,47083,78618,70807,53094,82332,59577,54324,54929,64007,64986,56783,63250,58238,62660,69106,63044,64105,54681
"Ajdovšèina","I Gostinstvo",198499,175239,111739,61502,59001,143020,177419,194606,172595,138186,127678,55147,67223,62657,65432,70373,119117,177069,191180,190382,159125,144315,158347,175456,171914,140295,146083,143868,159206,188262,192410,186794,160230
"Ajdovšèina","J Informacijske in komunikacijske dejavnosti",66044,62308,66419,65279,67974,68093,70927,73165,67177,67538,64136,66906,65049,59917,66347,63753,67327,69860,72825,72384,68602,70407,69045,72152,72745,64582,71269,73880,76348,78065,81492,78601,71819
"Ajdovšèina","K Finanène in zavarovalniške dejavnosti",13748,12640,12366,10261,11650,15109,17066,17950,15744,13472,12071,12813,14075,12537,13221,11765,11415,14922,17487,15971,13695,11765,11005,13187,14802,11038,11528,10717,13448,19530,21053,20177,16627
"Ajdovšèina","L Poslovanje z nepremièninami",257277,226362,213056,150330,145746,177795,244707,244040,245626,208873,180097,129633,203206,196464,219949,186740,197658,269390,276421,234936,267213,232968,200113,186481,213801,193635,224843,171031,202159,248000,236943,197415,191000
"Ajdovšèina","M Strokovne, znanstvene in tehniène dejavnosti",47254,40854,39605,23249,22511,30911,31930,32957,26094,33973,31351,43021,53407,54218,59198,46808,38061,38390,40062,37579,33176,35826,44631,53862,67610,63302,52796,34668,37084,32449,40189,38218,35908
"Ajdovšèina","N Druge raznovrstne poslovne dejavnosti",6375,6608,5865,3878,4231,5039,4728,5152,4374,5031,2445,5534,4674,7555,3948,3917,2969,3980,4733,3944,2974,3380,5698,7113,7175,5327,6372,4240,3227,4853,5446,4561,3338
"Ajdovšèina","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",148503,127008,114406,88823,80122,86767,82878,97096,100486,121214,124704,149912,145875,122603,121933,128657,92038,90815,98577,101818,104848,127071,141358,178778,151385,130402,127536,107668,96589,93251,96302,103372,107218
"Ajdovšèina","P Izobraževanje",180012,141209,96973,45106,67547,103528,100792,105903,148728,130559,73793,81638,94165,108980,138828,97154,119216,140274,127345,111196,147260,144470,164640,160889,167115,132471,150468,123030,152066,162523,130112,115896,143727
"Ajdovšèina","Q Zdravstvo in socialno varstvo",31602,30442,28615,25901,39174,70964,97026,76865,64779,41307,30166,49351,31776,29183,30078,28666,49456,67278,75813,73934,57460,44837,31829,46606,37045,32026,32999,27109,55078,68386,73953,72419,55583
"Ajdovšèina","R Kulturne, razvedrilne in rekreacijske dejavnosti",60879,58325,34176,8711,11110,31982,46507,56705,59555,48958,26589,34839,41096,38542,49540,41194,46101,54667,51445,58007,50837,52314,55420,60467,63318,54581,61519,53950,54813,50510,48084,57111,60215
"Ajdovšèina","S Druge dejavnosti",34061,28255,20081,13469,20185,26543,26071,29905,27303,16787,14299,29751,36639,29845,30651,21961,24590,27677,30193,28081,23950,22270,25721,40942,41281,33124,33225,27873,23897,25803,25961,23916,23513
"Ajdovšèina","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ajdovšèina","U Dejavnost eksteritorialnih organizacij in teles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ajdovšèina","X Neznano",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Ankaran/Ancarano","SKD Dejavnost - SKUPAJ",1045118,1014271,900150,645689,731919,1000239,1291140,1371720,1172111,967958,777336,787293,801746,750990,813673,752703,903981,1137425,1274450,1247369,1056095,1040939,961077,933607,878204,832144,979900,987236,1034282,1231897,1360661,1343410,1065385
"Ankaran/Ancarano","A Kmetijstvo in lov, gozdarstvo, ribištvo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankaran/Ancarano","B Rudarstvo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankaran/Ancarano","C Predelovalne dejavnosti",17675,16523,14061,14034,16715,18026,24210,25198,20125,16987,17265,18023,17262,16404,17679,16488,18142,20983,21525,20733,17960,16892,16150,16620,16572,16681,18223,16173,16722,20394,21011,23062,18239
"Ankaran/Ancarano","D Oskrba z elektrièno energijo, plinom in paro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankaran/Ancarano","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Ankaran/Ancarano","F Gradbeništvo",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Ankaran/Ancarano","G Trgovina, vzdrževanje in popravila motornih vozil",59328,53368,56481,44868,52750,56023,59073,66914,55643,49706,48610,57049,55609,47031,51330,47847,56112,64734,68512,66254,57065,50953,51294,59395,60072,52364,55223,50598,59699,66300,73196,71160,54340
"Ankaran/Ancarano","H Promet in skladišèenje",4931,3869,2825,2302,2622,3893,4223,4099,3941,3557,3177,3779,3990,3434,3586,3366,3498,3997,4719,4618,4198,4154,4389,5295,5511,4813,5170,4486,4333,4730,5305,5034,4245
"Ankaran/Ancarano","I Gostinstvo",290731,318175,251159,147304,180465,269165,376836,412049,349883,272231,130825,126172,127578,134272,160104,135753,231754,325080,382404,397774,322487,334773,266690,209842,192766,171319,237084,331681,315880,365714,423478,430954,315035
"Ankaran/Ancarano","J Informacijske in komunikacijske dejavnosti",z,z,z,z,z,z,z,z,z,z,z,13017,13630,12736,14073,13632,14412,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Ankaran/Ancarano","K Finanène in zavarovalniške dejavnosti",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Ankaran/Ancarano","L Poslovanje z nepremièninami",z,z,z,1541,1609,1428,2475,2458,2534,2061,2412,2765,2806,2088,2185,1886,1615,1475,2677,2935,1700,1991,2106,2476,2661,2184,2350,2318,1609,1424,1979,1373,1891
"Ankaran/Ancarano","M Strokovne, znanstvene in tehniène dejavnosti",1376,792,825,668,448,384,432,333,356,623,795,950,1012,773,847,645,341,341,332,463,297,446,696,1332,1276,1067,918,565,263,286,326,449,529
"Ankaran/Ancarano","N Druge raznovrstne poslovne dejavnosti",0,0,0,0,0,0,0,0,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,0
"Ankaran/Ancarano","O Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti",51280,43311,39043,30040,28887,36754,57795,64817,51728,37394,38196,46947,50519,43183,41491,31294,30190,42381,60513,66679,48603,41412,43827,59133,53872,52713,56625,52249,42112,53030,75281,71275,53989
"Ankaran/Ancarano","P Izobraževanje",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Ankaran/Ancarano","Q Zdravstvo in socialno varstvo",358911,350880,298613,207957,234562,360360,456598,490196,409522,342304,311680,286512,290651,287534,311734,293678,315887,399232,447804,420196,343600,336948,334864,319534,295352,316553,363491,305828,334651,430416,473786,447963,360387
"Ankaran/Ancarano","R Kulturne, razvedrilne in rekreacijske dejavnosti",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Ankaran/Ancarano","S Druge dejavnosti",5730,3820,4269,2335,3082,6366,11719,13172,11717,7946,2672,4383,7450,5980,5237,6712,8310,9691,10807,9372,11475,8815,3576,5218,8464,4124,6317,7693,10822,10927,12162,13362,10227
"Ankaran/Ancarano","T Dejavnost gospodinjstev z zaposlenim hišnim osebjem, proizvodnja za lastno rabo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankaran/Ancarano","U Dejavnost eksteritorialnih organizacij in teles",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ankaran/Ancarano","X Neznano",29112,21249,19127,20148,14420,18793,27526,27807,22119,18641,15491,20913,23950,11558,9642,9119,8116,8667,12527,13746,20151,9846,8787,10458,10976,10194,9652,9676,8581,11204,11830,1454,7646
"Apaèe","SKD Dejavnost - SKUPAJ",291004,220886,277482,197985,210052,216818,238133,231723,248129,334544,261921,286134,288112,260537,293218,281843,273015,231462,231488,241020,243990,397722,312002,326362,313161,271355,291199,252919,249924,236765,251482,247364,323435
"Apaèe","A Kmetijstvo in lov, gozdarstvo, ribištvo",z,z,z,z,z,z,1191,1248,1009,1506,2425,4564,3082,3493,3581,2050,1065,904,1074,973,840,1575,2183,3285,3024,1912,2354,1323,852,884,1085,1741,2594
"Apaèe","B Rudarstvo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Apaèe","C Predelovalne dejavnosti",55982,52071,52069,41806,41471,36136,39913,36176,42717,48655,92630,102653,114903,99472,122426,125318,112916,69614,55533,58349,58913,61958,72200,86702,89667,70731,85213,68388,66734,66157,61874,59953,139130
"Apaèe","D Oskrba z elektrièno energijo, plinom in paro",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Apaèe","E Oskrba z vodo, ravnanje z odplakami in odpadki, saniranje okolja",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Apaèe","F Gradbeništvo",z,z,z,z,z,1632,1582,1654,1759,1020,1670,2235,3169,2718,2501,2034,2621,2173,2167,2544,2822,3338,3808,4502,11678,4242,3535,2787,2791,2697,2241,2329,2630
"Apaèe","G Trgovina, vzdrževanje in popravila motornih vozil",70465,59571,61455,51632,51620,54399,66832,63916,70443,151405,42180,26908,25720,24835,29064,27748,28798,31738,47599,47455,44894,182438,77392,42847,38432,29810,32565,26626,29475,32264,48915,43003,35274
"Apaèe","H Promet in skladišèenje",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
"Apaèe","I Gostinstvo",14369,15455,13929,9714,16787,22465,24220,25091,22667,17638,12697,17151,13587,12989,13530,14413,16333,18836,20040,18742,19560,21635,19656,33827,20554,19151,16594,19083,18874,18856,18300,19086,16911
"Apaèe","J Informacijske in komunikacijske dejavnosti",11230,10701,11531,11509,11978,13197,12739,13391,12115,11903,11452,11138,11976,10469,12250,12532,13369,13970,14069,14438,13838,14650,13146,14596,14077,12505,13990,13636,14860,14597,15405,15519,14227
"Apaèe","K Finanène in zavarovalniške dejavnosti",z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z,z
