"OBÈINE","2022H2 Starost - SKUPAJ"
"SLOVENIJA",2108732
"Ajdovšèina",19693
"Ankaran/Ancarano",3288
"Apaèe",3551
"Beltinci",8116
"Benedikt",2703
"Bistrica ob Sotli",1366
"Bled",8168
"Bloke",1587
"Bohinj",5511
"Borovnica",4619
"Bovec",3107
"Braslovèe",5725
"Brda",5622
"Brezovica",12785
"Brežice",24286
"Cankova",1755
"Celje",48777
"Cerklje na Gorenjskem",7882
"Cerknica",11683
"Cerkno",4539
"Cerkvenjak",2213
"Cirkulane",2340
"Èrenšovci",3950
"Èrna na Koroškem",3201
"Èrnomelj",14207
"Destrnik",2635
"Divaèa",4405
"Dobje",950
"Dobrepolje",3891
"Dobrna",2307
"Dobrova - Polhov Gradec",7857
"Dobrovnik/Dobronak",1272
"Dol pri Ljubljani",6357
"Dolenjske Toplice",3581
"Domžale",37179
"Dornava",2906
"Dravograd",8852
"Duplek",7003
"Gorenja vas - Poljane",7627
"Gorišnica",4197
"Gorje",2765
"Gornja Radgona",8465
"Gornji Grad",2553
"Gornji Petrovci",2014
"Grad",2027
"Grosuplje",21464
"Hajdina",3877
"Hoèe - Slivnica",11805
"Hodoš/Hodos",364
"Horjul",3004
"Hrastnik",8961
"Hrpelje - Kozina",5023
"Idrija",11750
"Ig",7669
"Ilirska Bistrica",13352
"Ivanèna Gorica",17605
"Izola/Isola",16489
"Jesenice",21734
"Jezersko",656
"Juršinci",2492
"Kamnik",29856
"Kanal",5228
"Kidrièevo",6556
"Kobarid",4034
"Kobilje",529
"Koèevje",15668
"Komen",3618
"Komenda",6542
"Koper/Capodistria",53563
"Kostanjevica na Krki",2447
"Kostel",639
"Kozje",3011
"Kranj",56888
"Kranjska Gora",7092
"Križevci",3555
"Krško",25908
"Kungota",4914
"Kuzma",1638
"Laško",13052
"Lenart",8583
"Lendava/Lendva",10284
"Litija",15735
"Ljubljana",293845
"Ljubno",2527
"Ljutomer",11101
"Log - Dragomer",3717
"Logatec",14756
"Loška dolina",3603
"Loški Potok",1761
"Lovrenc na Pohorju",2946
"Luèe",1462
"Lukovica",6007
"Majšperk",3985
"Makole",2036
"Maribor",112564
"Markovci",4074
"Medvode",16936
"Mengeš",8435
"Metlika",8484
"Mežica",3561
"Miklavž na Dravskem polju",7133
"Miren - Kostanjevica",5070
"Mirna",2691
"Mirna Peè",3104
"Mislinja",4558
"Mokronog - Trebelno",3169
"Moravèe",5536
"Moravske Toplice",5932
"Mozirje",4429
"Murska Sobota",18619
"Muta",3398
"Naklo",5458
"Nazarje",2664
"Nova Gorica",31841
"Novo mesto",37746
"Odranci",1598
"Oplotnica",4137
"Ormož",11833
"Osilnica",330
"Pesnica",7573
"Piran/Pirano",18259
"Pivka",6252
"Podèetrtek",3630
"Podlehnik",1831
"Podvelka",2308
"Poljèane",4467
"Polzela",6397
"Postojna",16923
"Prebold",5308
"Preddvor",3823
"Prevalje",6731
"Ptuj",23440
"Puconci",5863
"Raèe - Fram",7848
"Radeèe",4131
"Radenci",5148
"Radlje ob Dravi",6193
"Radovljica",19321
"Ravne na Koroškem",11259
"Razkrižje",1233
"Reèica ob Savinji",2307
"Renèe - Vogrsko",4394
"Ribnica",9705
"Ribnica na Pohorju",1122
"Rogaška Slatina",11473
"Rogašovci",3101
"Rogatec",3069
"Ruše",7104
"Selnica ob Dravi",4492
"Semiè",3856
"Sevnica",17611
"Sežana",13781
"Slovenj Gradec",16808
"Slovenska Bistrica",26199
"Slovenske Konjice",15238
"Sodražica",2267
"Solèava",517
"Središèe ob Dravi",1893
"Starše",4093
"Straža",3898
"Sveta Ana",2315
"Sveta Trojica v Slov. goricah",2167
"Sveti Andraž v Slov. goricah",1195
"Sveti Jurij ob Šèavnici",2813
"Sveti Jurij v Slov. goricah",2113
"Sveti Tomaž",2021
"Šalovci",1359
"Šempeter - Vrtojba",6183
"Šenèur",8935
"Šentilj",8362
"Šentjernej",7265
"Šentjur",19421
"Šentrupert",2971
"Škocjan",3413
"Škofja Loka",23667
"Škofljica",11711
"Šmarje pri Jelšah",10394
"Šmarješke Toplice",3533
"Šmartno ob Paki",3340
"Šmartno pri Litiji",5729
"Šoštanj",8860
"Štore",4428
"Tabor",1732
"Tišina",3942
"Tolmin",10917
"Trbovlje",15890
"Trebnje",13454
"Trnovska vas",1404
"Trzin",3915
"Tržiè",15021
"Turnišèe",3171
"Velenje",33575
"Velika Polana",1400
"Velike Lašèe",4550
"Veržej",1363
"Videm",5616
"Vipava",5824
"Vitanje",2247
"Vodice",5039
"Vojnik",9076
"Vransko",2681
"Vrhnika",17858
"Vuzenica",2657
"Zagorje ob Savi",16356
"Zavrè",1494
"Zreèe",6587
"Žalec",21569
"Železniki",6690
"Žetale",1299
"Žiri",5018
"Žirovnica",4491
"Žužemberk",4687
