"OBÈINE","VRSTA ODJEMALCA","2020M01 (zaèasni podatki)","2020M02 (zaèasni podatki)","2020M03 (zaèasni podatki)","2020M04 (zaèasni podatki)","2020M05 (zaèasni podatki)","2020M06 (zaèasni podatki)","2020M07 (zaèasni podatki)","2020M08 (zaèasni podatki)","2020M09 (zaèasni podatki)","2020M10 (zaèasni podatki)","2020M11 (zaèasni podatki)","2020M12 (zaèasni podatki)","2021M01 (zaèasni podatki)","2021M02 (zaèasni podatki)","2021M03 (zaèasni podatki)","2021M04 (zaèasni podatki)","2021M05 (zaèasni podatki)","2021M06 (zaèasni podatki)","2021M07 (zaèasni podatki)","2021M08 (zaèasni podatki)","2021M09 (zaèasni podatki)","2021M10 (zaèasni podatki)","2021M11 (zaèasni podatki)","2021M12 (zaèasni podatki)","2022M01 (zaèasni podatki)","2022M02 (zaèasni podatki)","2022M03 (zaèasni podatki)","2022M04 (zaèasni podatki)","2022M05 (zaèasni podatki)","2022M06 (zaèasni podatki)","2022M07 (zaèasni podatki)","2022M08 (zaèasni podatki)","2022M09 (zaèasni podatki)"
"SLOVENIJA","Vrsta odjemalca - SKUPAJ",1050334322,952858343,953659228,777356326,815292902,841308246,899259274,880753445,906310323,945812542,955852673,997713348,1030659720,920015098,1013180468,917462865,924014163,927803032,925511549,893511471,901158224,957019264,982577786,1073923789,1053189320,953322459,1026734869,899111112,904754366,911394434,901111001,862735281,867212733
"SLOVENIJA","Gospodinjstva",360531626,304148282,326212055,290006882,272895051,246795679,248133763,251565452,247021449,293861891,332627346,385276249,394138196,327500686,338114206,309040904,283687627,250905352,246461812,246455176,243646603,299694150,327641790,397404568,391686666,327911525,338463121,292263113,251390828,235956365,240953077,234923975,239155784
"SLOVENIJA","Poslovni subjekti",689802696,648710061,627447173,487349444,542397851,594512567,651125511,629187993,659288874,651950651,623225327,612437099,636521524,592514412,675066262,608421961,640326536,676897680,679049737,647056295,657511621,657325114,654935996,676519221,661502654,625410934,688271748,606847999,653363538,675438069,660157924,627811306,628056949
"Ajdovšèina","Vrsta odjemalca - SKUPAJ",8109287,7750416,7055995,7605919,7061420,7659416,8705394,8101455,8064468,6841150,8529880,7697150,8643123,7942705,8644964,7845268,8136359,8664032,9250954,8106334,8201085,8252809,8304478,8943795,8898961,8293725,9499109,8391905,8485422,9026141,9067740,7941922,7720912
"Ajdovšèina","Gospodinjstva",3036044,2655573,2880486,2548934,2431723,2268913,2397868,2468466,2316305,2687154,2957317,3336563,3612880,2933933,2970958,2727859,2538646,2337978,2414421,2411477,2253069,2890873,2871000,3402170,3427419,2956123,3008230,2664199,2309406,2301342,2513540,2354075,2246469
"Ajdovšèina","Poslovni subjekti",5073243,5094843,4175509,5056985,4629697,5390503,6307526,5632989,5748163,4153996,5572563,4360587,5030243,5008772,5674006,5117409,5597713,6326054,6836533,5694857,5948016,5361936,5433478,5541625,5471542,5337602,6490879,5727706,6176016,6724799,6554200,5587847,5474443
"Ankaran/Ancarano","Vrsta odjemalca - SKUPAJ",1807407,1664622,1598500,1224776,1254984,1530512,1850310,1934119,1666150,1542468,1431185,1607280,1671795,1477852,1527723,1386008,1444522,1833683,1733526,1901750,1610592,1618115,1619904,1779092,1745428,1586144,1740193,1600949,1521543,1732375,1951128,1892719,1486775
"Ankaran/Ancarano","Gospodinjstva",762289,650351,698350,579087,523065,530273,559170,562399,494039,574510,653849,819987,870049,726862,714050,633305,540541,696258,459076,654381,554497,577176,658827,845485,867224,754000,760293,613713,487261,500478,590467,549309,421390
"Ankaran/Ancarano","Poslovni subjekti",1045118,1014271,900150,645689,731919,1000239,1291140,1371720,1172111,967958,777336,787293,801746,750990,813673,752703,903981,1137425,1274450,1247369,1056095,1040939,961077,933607,878204,832144,979900,987236,1034282,1231897,1360661,1343410,1065385
"Apaèe","Vrsta odjemalca - SKUPAJ",1019969,844085,936461,760280,740706,705954,730095,715093,724481,897974,893685,1082834,1069909,922558,939755,886607,809490,724586,725657,730145,731650,984348,956724,1142561,1097358,883722,947344,806597,729553,685666,715225,714175,789330
"Apaèe","Gospodinjstva",728965,623199,658979,562295,530654,489136,491962,483370,476352,563430,631764,796700,781797,662021,646537,604764,536475,493124,494169,489125,487660,586626,644722,816199,784197,612367,656145,553678,479629,448901,463743,466811,465895
"Apaèe","Poslovni subjekti",291004,220886,277482,197985,210052,216818,238133,231723,248129,334544,261921,286134,288112,260537,293218,281843,273015,231462,231488,241020,243990,397722,312002,326362,313161,271355,291199,252919,249924,236765,251482,247364,323435
"Beltinci","Vrsta odjemalca - SKUPAJ",2446597,2079510,2059661,1825427,1843910,1820191,1958665,1913160,1892790,2154262,2152612,2442976,2383053,2123378,2107969,1834656,1790490,1924039,1997575,1842016,1864647,2189920,2100127,2404604,2364672,1946421,2175565,1842751,1667769,1664684,1763175,1529173,1436696
"Beltinci","Gospodinjstva",1359756,1125506,1186851,1023330,972830,901157,933845,953094,893075,1083721,1223864,1441520,1400906,1199914,1215131,1108773,1009640,963458,986827,926979,893058,1094420,1228878,1481513,1450575,1143151,1262056,1061574,895268,882324,940321,903477,882690
"Beltinci","Poslovni subjekti",1086841,954004,872810,802097,871080,919034,1024820,960066,999715,1070541,928748,1001456,982147,923464,892838,725883,780850,960581,1010748,915037,971589,1095500,871249,923091,914097,803270,913509,781177,772501,782360,822854,625696,554006
